	NP	IN	BEDZ	PP$	NN$	NN	,	CC	JJT	.	VBD	NNS	AT	VBN	OD-TL	JJ-TL	NN-TL	AP	NR	WPS	MD	VB	CD	NP-TL	AT-TL	HVZ	NN$-TL	PPO	``	IN-TL	''	BEZ	HV	VBG	BER	JJ	DT	VBZ	TO	WRB	RB	WDT	PPSS	PPSS+HV	BEN	MD*	ABN	RBR	NN-TL-HL	PPS	DOZ	CS	NP$	RP	HVN	HVG	BE	--	JJ-HL	NNS-HL	EX	NNS-TL	NN-HL	QL	DTI	PPS+BEZ-HL	RBT	NNS$	DTS	NP$-TL	OD	BED	JJR-TL	VBN-HL	DO	VBG-HL	CD-TL	NPS	WP$	NPS$	CC-TL	CC-HL	:	*	IN-HL	NP-HL	,-HL	CD-HL	HVD	VBZ-HL	PPSS+MD	VBG-TL	(	)	JJR	NR-HL	DOD	JJS	(-HL	)-HL	JJR-HL	BEG	PPL	VBN-TL	PPLS	TO-HL	VB-HL	BEM	JJT-HL	NN$-HL	'	HVD-HL	AT-HL	.-HL	DO*	PN	RB$	ABX	VBD-HL	RP-HL	BEDZ*	NR-TL	FW-IN	FW-NN	ABL	WPO	RB-HL	NR$
VBD	29	58	0	0	0	39	5	0	0	3	104	2	34	16	0	0	3	0	1	0	2	2	1	0	0	0	0	0	0	0	1	0	0	0	0	3	0	3	0	0	3	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
NNS	44	89	0	0	0	169	7	0	0	12	2	92	118	3	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	9	1	1	0	0	1	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
AT	130	23	11	32	0	149	78	9	1	1	34	118	780	39	0	21	54	14	18	3	20	65	46	21	6	0	2	23	0	0	4	0	8	39	8	82	13	7	0	8	40	12	5	2	7	0	7	2	0	7	0	21	9	3	0	0	0	0	1	5	4	7	11	6	7	0	1	1	4	0	1	12	0	5	2	0	8	2	0	0	0	0	4	5	0	6	1	2	0	2	0	1	1	1	2	1	0	0	0	0	1	0	2	2	0	0	2	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	
VBN	26	72	0	0	0	62	5	0	1	8	16	3	39	78	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	7	0	6	0	0	0	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
OD-TL	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
JJ-TL	3	12	0	0	0	17	0	0	0	1	0	0	21	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
NN-TL	37	56	0	0	1	72	0	0	0	13	3	0	54	0	0	1	24	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
AP	4	15	0	0	0	28	0	0	0	2	0	0	14	1	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
NR	6	28	0	0	0	28	0	0	0	2	1	1	18	0	0	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
WPS	1	0	0	0	0	4	0	0	0	0	0	0	3	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MD	6	11	0	1	0	19	0	0	0	0	2	1	20	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
VB	13	16	0	0	0	39	1	0	0	3	2	1	65	4	0	0	1	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
