	VBN	IN	NN-TL	NP	CD	NNS	RB	TO	VB	AT	NN	WPS	VBD	,	CC	.	PP$	BEDZ	JJ-TL	DT	NNS-TL	NPS	NP-TL	AP	JJ	WRB	PPS	NP$	OD	CS	JJS	VBG	NP-HL	NN-HL	IN-HL	NNS-HL	BEZ	MD	BE	NR	RP	RBR	ABN	NN$-TL	DTS	NN$	NNS$	NN$-HL	JJ-HL	HVZ	BEN	VBN-TL	``	IN-TL	AT-TL	''	PPO	PN	BED	WP$	ABL	EX	VBZ	JJT	AT-HL	PPSS	*	QL	HVD	HVN	DTI	HV	JJR	PPS+MD	PPS+BEZ	DT+BEZ	VBG-HL	MD*	PPSS+BER	PPSS+MD	DO	WDT	BER	:	NNS$-TL	DOD	.-HL	NPS$	NR$	HVD*	ABX	VBD-HL	(	)	CD-HL	BEZ*	NPS-HL	NP$-TL	PPLS	AP$	'	DO*	--	PPSS+HV	DOZ*	CC-TL	CD-TL	RB-HL	CC-HL	PPSS+BEM	,-HL	WPO	FW-IN	FW-NN	NP+BEZ	VBG-TL	FW-AT-TL	PPS+HVZ	VB-TL	RB-TL	UH	MD-TL	PN+HVZ	NPS-TL	FW-JJ-TL	FW-NN-TL	BEG	PPL	VBN-HL	AP-HL	ABN-HL	OD-TL
NN	22	238	83	179	37	104	33	15	37	121	663	5	35	9	25	17	16	10	19	6	25	21	33	18	118	3	8	8	4	12	5	35	3	5	6	2	0	21	0	18	10	0	1	1	1	15	3	0	0	6	1	5	2	0	0	14	9	1	2	1	0	2	5	8	0	9	2	11	1	0	0	2	4	0	0	1	1	0	3	1	1	3	5	3	2	0	0	4	1	1	0	1	0	0	0	1	1	2	0	0	0	0	6	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	2	
WPS	0	0	0	0	0	0	0	0	0	4	5	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
VBD	5	37	1	33	1	0	3	0	2	22	35	0	62	2	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
,	1	1	2	19	2	1	0	0	2	0	9	0	2	554	0	2	2	0	1	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CC	2	1	0	5	0	0	0	0	0	10	25	0	0	0	199	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
.	1	3	2	4	2	7	2	0	5	2	17	0	1	2	0	391	0	0	1	0	0	1	1	1	2	3	0	1	0	1	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
PP$	1	18	0	2	0	0	0	0	0	17	16	0	0	2	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BEDZ	0	0	0	0	0	0	1	0	1	0	10	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
JJ-TL	2	7	0	3	0	1	0	0	0	20	19	0	0	1	0	1	0	0	1	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
DT	3	5	0	2	0	0	0	0	0	9	6	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
